group,new_group,title,country,n_uris,in_current_list,merged_variants,sources,conflict
国际新闻,no,CityNews Edmonton,CA,1,,CityNews Edmonton,02,
国际新闻,no,CityNews Toronto,CA,1,,CityNews Toronto (720p),02,
国际新闻,no,CityNews Vancouver,CA,1,,CityNews Vancouver (720p),02,
国际新闻,no,Cnews Bharat,IN,1,,Cnews Bharat (720p),02,
国际新闻,no,Conecta2TV,PE,1,,Conecta2TV (720p) [Not 24/7],02,
国际新闻,no,Contivision,CL,1,,Contivision (720p),02,
国际新闻,no,Corfu Channel,GR,1,,Corfu Channel (720p);Corfu,02;11,Corfu
国际新闻,no,Cusano News 7,IT,1,,Cusano News 7,11,
国际新闻,no,DD Mizoram,IN,1,,DD Mizoram (504p),02,
国际新闻,no,DHA,TR,1,,DHA (720p) [Not 24/7],02,
国际新闻,no,DW Arabic,DE,1,,DW Arabic (1080p),02,
国际新闻,no,DW Russian,DE,1,,DW Russian (1080p),02,
国际新闻,no,DW العربية,DE,1,,DW العربية,11,
国际新闻,no,Dabanga TV,SD,1,,Dabanga TV (1080p),02,
国际新闻,no,De Ultimo Minuto TV,DO,1,,De Ultimo Minuto TV,02,
国际新闻,no,Di TV,SE,1,,Di TV (1080p);Di TV,02;11,
国际新闻,no,Didgah TV,US,1,,Didgah TV (576p),02,
国际新闻,no,Digi 24,RO,1,,Digi 24 (720p),02,
国际新闻,no,Dijlah TV,IQ,1,,Dijlah TV (1080p);Dijlah TV,02;11,
国际新闻,no,Dong Nai TV 1,VN,1,,Dong Nai TV 1 (720p),02,
国际新闻,no,Dotto TV,RO,1,,Dotto TV (1080p),02,
国际新闻,no,Dunya News,,1,,Dunya News,14,
国际新闻,no,Dunya News (INT Feed),PK,1,,Dunya News (INT Feed) (720p) [Not 24/7],02,
国际新闻,no,Dunya News (UK Feed),UK,1,,Dunya News (UK Feed) (720p) [Not 24/7],02,
国际新闻,no,E! Latin America Mexico,US,1,,E! Latin America Mexico (720p),02,
国际新闻,no,EAC News TV,KH,1,,EAC News TV,02,
国际新闻,no,ERT News,GR,1,,ERT News HD (1080p),02,
国际新闻,no,ETV News,IN,1,,ETV News (1080p),02,
国际新闻,no,Eagle News,MN,1,,Eagle News HD,11,
国际新闻,no,Ecotel TV,EC,1,,Ecotel TV (720p),02,
国际新闻,no,Egnatia TV,GR,1,,Egnatia TV (576p),02,
国际新闻,no,Ekamra Bharat Odia,IN,1,,Ekamra Bharat Odia (400p),02,
